,"bot_0 (0.01, 0.7)","bot_1 (0.01, 0.8)","bot_2 (0.01, 0.9)","bot_3 (0.03, 0.75)","bot_4 (0.03, 0.85)","bot_5 (0.03, 0.95)","bot_6 (0.05, 0.75)","bot_7 (0.05, 0.85)","bot_8 (0.05, 0.95)","bot_9 (0.1, 0.75)","bot_10 (0.1, 0.85)","bot_11 (0.1, 0.95)","bot_12 (0.15, 0.8)","bot_13 (0.2, 0.9)"
"bot_0 (0.01, 0.7)",X,0.2692,0.329,0.4948,0.5469,0.3806,0.739,0.0042,0.5024,0.4964,0.4438,0.0,0.4965,0.0
"bot_1 (0.01, 0.8)",0.4915,X,0.5041,0.508,0.7281,1.0,0.5015,0.5021,0.4952,0.0896,0.0,0.4886,0.0,0.0
"bot_2 (0.01, 0.9)",0.55,0.4959,X,0.5074,0.0,0.0,0.1105,0.0,0.0,0.4934,0.0,0.0,0.0,0.0
"bot_3 (0.03, 0.75)",0.3781,0.4918,0.4926,X,1.0,0.2575,0.177,0.0,0.2905,0.0466,0.0,0.0,0.0,0.0
"bot_4 (0.03, 0.85)",0.3878,0.2719,1.0,0.0,X,0.4902,0.8316,0.0,0.0,0.2378,0.0,0.5423,0.0,0.0
"bot_5 (0.03, 0.95)",0.4988,0.0,1.0,0.7322,0.5064,X,0.7865,0.4995,0.4967,0.8738,0.5132,0.0,0.0,0.5485
"bot_6 (0.05, 0.75)",0.082,0.4985,0.6295,0.7062,0.0,0.1849,X,0.0,0.5023,0.0,0.2226,0.0,0.0,0.0
"bot_7 (0.05, 0.85)",0.9304,0.4979,1.0,1.0,0.8301,0.5005,0.756,X,0.0,0.5537,0.0,0.0,0.0455,0.0
"bot_8 (0.05, 0.95)",0.4976,0.5048,1.0,0.5868,1.0,0.5033,0.0,1.0,X,1.0,0.0,0.0002,0.0204,0.0
"bot_9 (0.1, 0.75)",0.5012,0.9102,0.5066,0.9427,0.7267,0.0,0.7525,0.2509,0.0,X,0.0,0.5072,0.0,0.0
"bot_10 (0.1, 0.85)",0.0,1.0,1.0,1.0,0.4905,0.4868,0.7587,1.0,0.4988,1.0,X,0.5008,0.5001,0.5019
"bot_11 (0.1, 0.95)",1.0,0.5035,1.0,1.0,0.4502,0.5059,1.0,1.0,0.9965,0.4928,0.4992,X,1.0,0.4913
"bot_12 (0.15, 0.8)",0.5035,0.8562,1.0,1.0,0.9869,0.4966,0.5067,0.945,0.6969,1.0,0.4999,0.0,X,0.5563
"bot_13 (0.2, 0.9)",1.0,1.0,1.0,1.0,1.0,0.4036,1.0,1.0,0.9967,1.0,0.4981,0.5076,0.4306,X
