,"bot_0 (0.01 - 0.7)","bot_1 (0.01 - 0.8)","bot_2 (0.01 - 0.9)","bot_3 (0.03 - 0.75)","bot_4 (0.03 - 0.85)","bot_5 (0.03 - 0.95)","bot_6 (0.05 - 0.75)","bot_7 (0.05 - 0.85)","bot_8 (0.05 - 0.95)","bot_9 (0.1 - 0.75)","bot_10 (0.1 - 0.85)","bot_11 (0.1 - 0.95)","bot_12 (0.15 - 0.8)","bot_13 (0.2 - 0.9)"
"bot_0 (0.01 - 0.7)",X,0.2642,0.3523,0.4979,0.9999,0.2987,0.2486,0.0012,0.0432,0.7087,0.0,0.1659,0.0253,0.0
"bot_1 (0.01 - 0.8)",0.5018,X,0.183,0.0,0.0,0.0,0.286,0.0,0.0,0.1973,0.5064,0.5821,0.104,0.0
"bot_2 (0.01 - 0.9)",0.5196,0.1747,X,0.0,0.0,0.4303,0.0,0.0,0.1645,0.0169,0.0,0.0,0.0,0.4944
"bot_3 (0.03 - 0.75)",0.5021,1.0,1.0,X,0.5006,0.0,0.5104,0.0,0.0,0.496,0.0529,0.0,0.0762,0.5006
"bot_4 (0.03 - 0.85)",0.0,1.0,1.0,0.0,X,0.5091,0.0,0.5076,0.0,0.0907,0.0,0.0,0.0,0.0
"bot_5 (0.03 - 0.95)",0.5057,1.0,0.4994,1.0,0.4909,X,0.4539,0.4995,0.4932,0.5068,0.502,0.5017,0.4975,0.3156
"bot_6 (0.05 - 0.75)",0.6442,0.6546,1.0,0.2322,1.0,0.5373,X,0.0,0.0,0.0,0.0,0.0,0.0,0.4967
"bot_7 (0.05 - 0.85)",0.9931,1.0,1.0,1.0,0.4924,0.5005,1.0,X,0.506,0.4973,0.0,0.0,0.507,0.5022
"bot_8 (0.05 - 0.95)",0.9524,0.9973,0.8178,1.0,1.0,0.0,1.0,0.4939,X,0.5004,0.5016,0.5016,0.3615,0.497
"bot_9 (0.1 - 0.75)",0.2474,0.7987,0.506,0.504,0.817,0.0,0.497,0.5027,0.4996,X,0.4885,0.5006,0.4403,0.0
"bot_10 (0.1 - 0.85)",1.0,0.4936,1.0,0.9255,0.5005,0.498,1.0,1.0,0.4984,0.5115,X,0.5015,0.9561,0.5102
"bot_11 (0.1 - 0.95)",0.8341,0.4041,1.0,1.0,1.0,0.4983,1.0,1.0,0.4984,0.4994,0.4985,X,0.4913,0.5096
"bot_12 (0.15 - 0.8)",0.9743,0.8411,1.0,0.9144,1.0,0.5025,1.0,0.461,0.6035,0.522,0.0336,0.5068,X,0.4949
"bot_13 (0.2 - 0.9)",1.0,1.0,0.5056,0.4994,1.0,0.5288,0.5033,0.4978,0.503,1.0,0.4898,0.4904,0.5051,X
