,"bot_0 (0.01, 0.7)","bot_1 (0.01, 0.8)","bot_2 (0.01, 0.9)","bot_3 (0.03, 0.75)","bot_4 (0.03, 0.85)","bot_5 (0.03, 0.95)","bot_6 (0.05, 0.75)","bot_7 (0.05, 0.85)","bot_8 (0.05, 0.95)","bot_9 (0.1, 0.75)","bot_10 (0.1, 0.85)","bot_11 (0.1, 0.95)","bot_12 (0.15, 0.8)","bot_13 (0.2, 0.9)"
"bot_0 (0.01, 0.7)",X,0.352,0.5131,0.4747,0.5526,0.6447,0.6639,0.5249,0.3421,0.6764,0.6668,0.4551,0.6667,0.668
"bot_1 (0.01, 0.8)",0.648,X,0.7524,0.6646,0.7887,0.958,1.0,0.7367,0.4986,1.0,1.0,0.6237,1.0,1.0
"bot_2 (0.01, 0.9)",0.3903,0.2476,X,0.396,0.5039,0.585,0.5992,0.4857,0.2466,0.6352,0.6272,0.3757,0.6328,0.6367
"bot_3 (0.03, 0.75)",0.4697,0.3354,0.5121,X,0.5447,0.6471,0.6619,0.5103,0.3392,0.6511,0.6633,0.4487,0.677,0.6654
"bot_4 (0.03, 0.85)",0.278,0.2113,0.3151,0.278,X,0.4739,0.4368,0.3614,0.2206,0.5038,0.503,0.2491,0.4953,0.4932
"bot_5 (0.03, 0.95)",0.0697,0.042,0.0665,0.0586,0.0628,X,0.1211,0.0698,0.0383,0.1228,0.1282,0.0534,0.1275,0.1242
"bot_6 (0.05, 0.75)",0.107,0.0,0.1983,0.1052,0.3174,0.4168,X,0.27,0.0,0.5074,0.4928,0.0774,0.5003,0.5032
"bot_7 (0.05, 0.85)",0.3713,0.2633,0.4148,0.3881,0.5523,0.6988,0.6189,X,0.2661,0.7539,0.7448,0.3347,0.7586,0.7402
"bot_8 (0.05, 0.95)",0.6579,0.5014,0.7534,0.6608,0.7794,0.9617,1.0,0.7339,X,1.0,1.0,0.6248,1.0,1.0
"bot_9 (0.1, 0.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,0.0,0.0,0.0
"bot_10 (0.1, 0.85)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,0.0,0.0
"bot_11 (0.1, 0.95)",0.5449,0.3763,0.6243,0.5513,0.7509,0.9466,0.9225,0.6652,0.3752,1.0,1.0,X,1.0,0.9889
"bot_12 (0.15, 0.8)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0
"bot_13 (0.2, 0.9)",0.0106,0.0,0.0216,0.0128,0.0193,0.001,0.0203,0.0186,0.0,0.0,0.0,0.011,0.0,X
