,bot_0 (0.01 - 0.4),bot_1 (0.01 - 0.5),bot_2 (0.01 - 0.6),bot_3 (0.03 - 0.45),bot_4 (0.03 - 0.55),bot_5 (0.03 - 0.65),bot_6 (0.05 - 0.45),bot_7 (0.05 - 0.55),bot_8 (0.05 - 0.65),bot_9 (0.07 - 0.45),bot_10 (0.07 - 0.55),bot_11 (0.07 - 0.65),bot_12 (0.1 - 0.5),bot_13 (0.1 - 0.6)
bot_0 (0.01 - 0.4),X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot_1 (0.01 - 0.5),0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot_2 (0.01 - 0.6),0.5045,0.4994,X,0.4891,0.4987,0.437,0.4378,0.4343,0.42,0.5,0.402,0.4952,0.4478,0.442
bot_3 (0.03 - 0.45),0.0,0.0,0.089,X,0.0,0.0471,0.0673,0.0483,0.0655,0.0,0.0868,0.0,0.0633,0.0607
bot_4 (0.03 - 0.55),0.0,0.0,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot_5 (0.03 - 0.65),0.1962,0.2068,0.2012,0.2016,0.2025,X,0.2048,0.186,0.1707,0.2053,0.1691,0.2085,0.2086,0.1693
bot_6 (0.05 - 0.45),0.7963,0.8017,0.4607,0.753,0.8021,0.6257,X,0.6643,0.5185,0.7965,0.3371,0.8003,0.6877,0.6632
bot_7 (0.05 - 0.55),0.2017,0.1969,0.1763,0.2036,0.202,0.1885,0.1811,X,0.1698,0.1993,0.1729,0.1983,0.1962,0.1804
bot_8 (0.05 - 0.65),0.4953,0.5011,0.3127,0.4797,0.4958,0.4125,0.4057,0.4251,X,0.5045,0.3436,0.5016,0.4483,0.4248
bot_9 (0.07 - 0.45),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,0.0,0.0,0.0
bot_10 (0.07 - 0.55),0.7596,0.7601,0.4932,0.7083,0.7494,0.643,0.6109,0.6277,0.5115,0.7532,X,0.7504,0.6758,0.6165
bot_11 (0.07 - 0.65),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,0.0
bot_12 (0.1 - 0.5),0.2519,0.2496,0.1396,0.2327,0.2454,0.1595,0.1478,0.1678,0.131,0.2536,0.1108,0.2455,X,0.1532
bot_13 (0.1 - 0.6),0.2498,0.2439,0.1801,0.2318,0.2504,0.2135,0.1898,0.2493,0.1885,0.2441,0.1774,0.2524,0.2443,X
