,"bot_0 (0.01 - 0.7)","bot_1 (0.01 - 0.8)","bot_2 (0.01 - 0.9)","bot_3 (0.03 - 0.75)","bot_4 (0.03 - 0.85)","bot_5 (0.03 - 0.95)","bot_6 (0.05 - 0.75)","bot_7 (0.05 - 0.85)","bot_8 (0.05 - 0.95)","bot_9 (0.1 - 0.75)","bot_10 (0.1 - 0.85)","bot_11 (0.1 - 0.95)","bot_12 (0.15 - 0.8)","bot_13 (0.2 - 0.9)"
"bot_0 (0.01 - 0.7)",X,0.5819,0.4558,0.6156,0.4566,0.472,0.764,0.5378,0.4658,0.6532,0.452,0.3346,0.5391,0.7556
"bot_1 (0.01 - 0.8)",0.3112,X,0.3218,0.4696,0.2788,0.3009,0.7487,0.3073,0.2867,0.6148,0.2702,0.3686,0.569,0.7522
"bot_2 (0.01 - 0.9)",0.5442,0.6782,X,0.8453,0.4115,0.4857,1.0,0.6872,0.4719,0.8069,0.4549,0.3731,0.6244,1.0
"bot_3 (0.03 - 0.75)",0.2711,0.3202,0.1547,X,0.2168,0.2529,0.3942,0.2742,0.22,0.3329,0.274,0.2548,0.2559,0.3963
"bot_4 (0.03 - 0.85)",0.5434,0.7212,0.5885,0.7832,X,0.5262,1.0,0.6516,0.5079,0.8502,0.5059,0.4765,0.7605,1.0
"bot_5 (0.03 - 0.95)",0.528,0.6085,0.5143,0.6536,0.4738,X,0.8031,0.5846,0.4822,0.6894,0.4833,0.3891,0.5987,0.7995
"bot_6 (0.05 - 0.75)",0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"bot_7 (0.05 - 0.85)",0.4533,0.6036,0.3128,0.6346,0.3484,0.4069,0.801,X,0.3417,0.6812,0.4455,0.3525,0.5459,0.7973
"bot_8 (0.05 - 0.95)",0.5342,0.7133,0.5281,0.78,0.4921,0.5178,1.0,0.6583,X,0.8623,0.4919,0.4566,0.7477,1.0
"bot_9 (0.1 - 0.75)",0.1608,0.1771,0.1931,0.2218,0.1498,0.1623,0.2546,0.176,0.1377,X,0.1527,0.1464,0.204,0.2472
"bot_10 (0.1 - 0.85)",0.548,0.7298,0.5451,0.726,0.4941,0.5167,1.0,0.5545,0.5081,0.8473,X,0.501,0.7518,1.0
"bot_11 (0.1 - 0.95)",0.5823,0.5905,0.6269,0.6282,0.5235,0.552,0.7526,0.5886,0.5434,0.6691,0.499,X,0.6239,0.7543
"bot_12 (0.15 - 0.8)",0.2962,0.3202,0.3756,0.4331,0.2395,0.2729,0.4922,0.3278,0.2523,0.4395,0.2481,0.2938,X,0.501
"bot_13 (0.2 - 0.9)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X
